survey,variable,concept,year,quarter,target_year,target_period,horizon_class,horizon_years,horizon_quarters,bin_scheme,n,mean,median,within_sd,disagreement,total_sd,share_between,q05,q10,q25,q50,q75,q90,q95,iqr,realized,realization_concept,source,observation_status,consensus_mean,error,inside_1sd,inside_pooled_90,crps_pooled,crps_individual_mean,pinball_05,pinball_10,pinball_25,pinball_50,pinball_75,pinball_90,pinball_95,pit,n_climatology,n_gaussian,crps_climatology,crps_gaussian,skill_vs_climatology,skill_vs_gaussian
ecb,hicp,hicp_yoy,1999,1,1999,1999,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,64,1.0079162324096977,1.062851678857465,0.3738303289390051,0.22976270406527965,0.438793818340726,0.27418144833707114,0.1908134421777246,0.5103752536638028,0.6948826418897258,1.0712148306700087,1.2850870592534755,1.562653397455858,1.7624956890477312,0.5902044173637497,1.0916666666666666,calendar_year_average_year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.0079162324096977,0.08375043425696882,True,True,0.10303006202517691,0.14781249810384425,0.045042661224447104,0.05812914130028638,0.09919600619423519,0.010225917998328948,0.04835509814670225,0.04709867307891914,0.03354145111905326,0.5239066055140913,2,0,,,,
ecb,hicp,hicp_yoy,1999,1,2000,2000,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,64,1.326731360308139,1.4,0.44086702325649896,0.3304147657966339,0.5509425102962112,0.3596717493918574,0.3409776329972525,0.6025480621006687,1.0282173557620808,1.3148194677354905,1.7137065153830888,1.8961558996242098,2.23685244372011,0.685489159621008,2.108333333333333,calendar_year_average_year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.326731360308139,0.781601973025194,False,True,0.5105903860440885,0.5849212879958898,0.08836778501680403,0.15057852712326644,0.270028994392813,0.3967569327989212,0.2959701134626831,0.1909596903382108,0.006425955519338849,0.9245842508368673,2,0,,,,
ecb,hicp,hicp_yoy,1999,1,2003,2003,longer_term,4.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.8035029946965675,1.75692921235,0.5243931174889777,0.3910648881379718,0.6541558594128566,0.35738405920951116,0.6679212728530765,1.050509738108653,1.3901818664562264,1.7822801654149494,2.226114634295175,2.6420950182656564,2.836576099398353,0.8359327678389485,2.0833333333333335,calendar_year_average_year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.8035029946965675,0.279830338636766,True,True,0.19226488915578743,0.2811592821751537,0.07077060302401286,0.10328235952246806,0.17328786671927676,0.15052658395919205,0.035695325240460374,0.05587616849323228,0.03766213830325101,0.6568286624175328,2,0,,,,
ecb,hicp,hicp_yoy,1999,1,,1999Dec,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,57,1.1155995842001685,1.15,0.396883480443976,0.32013226611725526,0.5099030935959233,0.3941700332960744,0.19034313886502996,0.5116637433612587,0.7417147927468838,1.1456698882184633,1.3937564239503264,1.7763165505484584,1.8724545649174535,0.6520416312034426,1.7,year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.1155995842001685,0.5844004157998315,False,True,0.35538306968129607,0.43160039655286275,0.07548284305674852,0.11883362566387412,0.23957130181327904,0.27716505589076834,0.22968268203725517,0.007631655054845841,0.008622728245872686,0.860308858546037,24,0,0.22517361111111106,,-0.5782625145445381,
ecb,hicp,hicp_yoy,1999,1,,2000Dec,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,56,1.4251671228165164,1.5,0.44937512714502714,0.37157388041768397,0.5830996085620918,0.4060736938404009,0.5046335037349964,0.6449785010529305,1.076937766238684,1.5019092864470356,1.7910858071002227,2.1773192587637697,2.336090589507961,0.7141480408615386,2.5,year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.4251671228165164,1.0748328771834836,False,False,0.7656061532859748,0.8555092665264371,0.09976832481325018,0.18550214989470695,0.355765558440329,0.4990453567764822,0.531685644674833,0.2904126671126072,0.15571393996743693,0.9701262438856194,24,0,0.9918402777777776,,0.22809531893449753,
ecb,hicp,hicp_yoy,1999,1,,2003Dec,longer_term,5.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,46,1.8243636556544967,1.8625000000000003,0.5114072304724422,0.4296028141942932,0.6679041348450764,0.4137194808760755,0.6159620736384149,1.0434211453432982,1.5087876054661176,1.8105064340756725,2.251654480329586,2.66639764069992,2.8459313544455584,0.7428668748634686,2.0,year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.8243636556544967,0.17563634434550335,True,True,0.1647905735328696,0.2676225688298319,0.06920189631807926,0.09565788546567018,0.12280309863347061,0.09474678296216377,0.06291362008239654,0.066639764069992,0.04229656772227796,0.5741531166092209,24,0,0.4918402777777777,,0.6649510400461246,
ecb,hicp,hicp_yoy,1999,2,1999,1999,current_year,0.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.1387191807874513,1.1500000000000001,0.33767515621298366,0.15894164235386235,0.37321167827066454,0.1813697869130076,0.5433742789886216,0.6253825350645182,0.8714073032922085,1.1600837962706212,1.3321671847026257,1.652064994441314,1.7998341370166968,0.46075988141041724,1.0916666666666666,calendar_year_average_year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.1387191807874513,-0.047052514120784705,True,True,0.082503145496394,0.10813176005068767,0.02741461938390225,0.046628413160214835,0.055064840843614515,0.034208564801977315,0.060125129508989794,0.05603983277746472,0.03540837351750154,0.40060468615338174,2,0,,,,
ecb,hicp,hicp_yoy,1999,2,2000,2000,next_year,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,59,1.4301686936999334,1.475,0.40867140159013443,0.2661945130206008,0.48772106089435974,0.29788948862560466,0.6019953987921067,0.7689180270269761,1.1172795302636662,1.382053042162815,1.7548134139611062,2.068773455311445,2.2685665953125245,0.63753388369744,2.108333333333333,calendar_year_average_year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.4301686936999334,0.6781646396333996,False,True,0.4459865061573462,0.5012290923731939,0.07531689672706132,0.1339415306306357,0.24776345076741668,0.363140145585259,0.26513993952917003,0.03560389021969899,0.008011663098959584,0.9099002092918892,2,0,,,,
ecb,hicp,hicp_yoy,1999,2,,2000Mar,rolling_1y,1.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,54,1.4018260387290735,1.3795,0.3879198655327049,0.2848481054513887,0.48126943104061504,0.3503080487806717,0.5970915050282493,0.7540824962718442,1.1025864391662632,1.3503156463186938,1.728970867805692,2.003429366259318,2.2432505486602823,0.6263844286394289,2.0,year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.4018260387290735,0.5981739612709265,False,True,0.38647273363250617,0.44712128438828397,0.07014542474858754,0.12459175037281559,0.2243533902084342,0.3248421768406531,0.20327184914573093,0.0003429366259318111,0.012162527433014126,0.8992850159804515,27,0,0.5331961591220851,,0.27517719882146385,
ecb,hicp,hicp_yoy,1999,2,,2001Mar,rolling_2y,2.0,,T0_0|F0_0T0_4|F0_5T0_9|F1_0T1_4|F1_5T1_9|F2_0T2_4|F2_5T2_9|F3_0T3_4|F3_5,53,1.570702971665823,1.5499999999999998,0.4552967488280786,0.3210105981641547,0.5570843146482648,0.33204495082049795,0.6260624515795468,0.8716162282555132,1.1956381255933626,1.6030403045933925,1.862330152059191,2.2685075916274866,2.3866058015761853,0.6666920264658285,2.2,year_on_year_hicp_inflation,ECB Data Portal ICP.M.U2.N.000000.4.ANR (latest vintage),A,1.570702971665823,0.6292970283341772,False,True,0.3951534255797433,0.4670002002901629,0.07869687742102267,0.1328383771744487,0.2510904686016594,0.2984798477033038,0.25325238595560684,0.0068507591627486415,0.009330290078809264,0.8709954995688565,27,0,0.733196159122085,,0.4610536066461499,
